src,dst,probability
5,27,0.0028089887640449437
5,32,0.003067484662576687
5,175,0.01282051282051282
5,995,0.007042253521126761
5,1315,0.010869565217391304
5,34,0.003952569169960474
5,291,0.0037735849056603774
5,6,0.0015060240963855422
5,372,0.016129032258064516
5,378,0.004608294930875576
5,8,0.0012547051442910915
5,1035,0.014925373134328358
5,80,0.003952569169960474
5,386,0.02631578947368421
5,182,0.014705882352941176
5,394,0.018518518518518517
5,44,0.003076923076923077
5,47,0.010638297872340425
5,431,0.003875968992248062
5,51,0.006944444444444444
5,434,0.005405405405405406
5,9648,0.08333333333333333
5,2679,0.047619047619047616
5,339,0.004366812227074236
5,86,0.007874015748031496
5,211,0.0024937655860349127
5,459,0.0018656716417910447
5,88,0.001451378809869376
5,22510,0.019230769230769232
5,517,0.010869565217391304
5,69,0.014925373134328358
5,547,0.010101010101010102
5,555,0.012195121951219513
5,565,0.01694915254237288
5,2739,0.0136986301369863
5,1999,0.00909090909090909
5,327,0.001557632398753894
6,2,0.0045871559633027525
6,26,0.0028011204481792717
6,134,0.005208333333333333
6,984,0.013333333333333334
6,27,0.0028089887640449437
6,987,0.0038910505836575876
6,31,0.007352941176470588
6,4,0.002145922746781116
6,992,0.01098901098901099
6,32,0.003067484662576687
6,994,0.00558659217877095
6,5306,0.07692307692307693
6,995,0.007042253521126761
6,998,0.004
6,137,0.008403361344537815
6,34,0.003952569169960474
6,291,0.0037735849056603774
6,721,0.005494505494505495
6,6069,0.05555555555555555
6,1445,0.011904761904761904
6,372,0.016129032258064516
6,373,0.004291845493562232
6,39,0.00392156862745098
6,1035,0.014925373134328358
6,1057,0.022727272727272728
6,301,0.0010741138560687433
6,186,0.008
6,47,0.010638297872340425
6,1474,0.03125
6,750,0.002369668246445498
6,756,0.009009009009009009
6,1104,0.010752688172043012
6,6139,0.022222222222222223
6,211,0.0024937655860349127
6,40926,0.020833333333333332
6,88,0.001451378809869376
6,2342,0.014492753623188406
6,491,0.018867924528301886
7,26,0.0028011204481792717
7,27,0.0028089887640449437
7,987,0.0038910505836575876
7,4219,0.020833333333333332
7,623,0.0125
7,333,0.00980392156862745
7,77,0.0070921985815602835
7,32,0.003067484662576687
7,994,0.00558659217877095
7,995,0.007042253521126761
7,996,0.009523809523809525
7,998,0.004
7,137,0.008403361344537815
7,1315,0.010869565217391304
7,291,0.0037735849056603774
7,721,0.005494505494505495
7,1443,0.008403361344537815
7,1445,0.011904761904761904
7,206,0.0010121457489878543
7,5,0.005405405405405406
7,6,0.0015060240963855422
7,2428,0.02127659574468085
7,4302,0.05
7,1837,0.007518796992481203
7,2218,0.02564102564102564
7,8,0.0012547051442910915
7,78,0.00303951367781155
7,1458,0.017543859649122806
7,146,0.0051813471502590676
7,7292,0.014492753623188406
7,393,0.007575757575757576
7,1053,0.015384615384615385
7,1343,0.01639344262295082
7,44,0.003076923076923077
7,15915,0.125
7,81,0.0022675736961451248
7,186,0.008
7,403,0.0036101083032490976
7,409,0.010416666666666666
7,413,0.07692307692307693
7,1474,0.03125
7,50,0.0072992700729927005
7,431,0.003875968992248062
7,85,0.08333333333333333
7,339,0.004366812227074236
7,891,0.005376344086021506
7,1276,0.0021645021645021645
7,459,0.0018656716417910447
7,5604,0.08333333333333333
7,306,0.006172839506172839
7,1880,0.004
7,1881,0.0051813471502590676
7,816,0.004149377593360996
7,46150,0.14285714285714285
8,27,0.0028089887640449437
8,31,0.007352941176470588
8,77,0.0070921985815602835
8,32,0.003067484662576687
8,362,0.015625
8,697,0.06666666666666667
8,5,0.005405405405405406
8,141,0.008849557522123894
8,6,0.0015060240963855422
8,7,0.012048192771084338
8,80,0.003952569169960474
8,147,0.007692307692307693
8,393,0.007575757575757576
8,394,0.018518518518518517
8,44,0.003076923076923077
