node,ic_mean,ic_std
8296,4.745,15.080781644198685
8306,9.815,34.121119193250394
8329,13.945,58.486938499121315
8353,9.83,27.235107857322685
8383,16.735,31.548926685388203
8385,20.69,41.74187226275314
8428,1.385,2.589744195861823
8499,7.36,25.727813743106896
8600,2.68,2.3124878378058553
8629,5.57,15.538182004340149
8682,17.69,30.34425645818332
8691,4.005,4.825450756147037
8732,4.32,8.265446146458157
8755,2.39,3.7799338618552576
8942,2.77,14.465030245388357
9102,19.695,50.38533491999433
9106,17.42,45.96089207141219
9134,11.755,30.04904283001374
9160,19.035,50.206112924623035
9163,9.08,26.327810391295362
9236,3.225,10.31767294500073
9254,22.68,64.2813938865672
9358,3.82,4.862879805218302
9481,6.975,20.433413199952668
9483,8.155,34.678393489318395
9490,5.505,14.572576127781938
9506,5.61,21.98085303167281
9520,3.605,14.620498452515225
9563,26.64,73.8018997045469
9570,23.845,52.00039398889205
9574,10.99,29.46234715700703
9634,15.69,48.126644387490806
9682,1.0,0.0
9731,5.875,12.492372672955286
9784,45.735,79.02066043130746
9796,36.685,64.74570082252566
9797,6.885,31.14918578390132
9798,20.315,50.610135101578216
9906,22.295,48.22072142761865
9914,21.035,40.885129020219566
9937,7.28,28.37625063323201
10005,1.0,0.0
10128,3.03,15.215094478839099
10152,4.135,12.40752896430228
10403,16.395,43.98032486237454
10445,3.72,18.83139931072569
10538,19.8,51.70009671170838
10552,10.88,39.31648000520901
10635,1.115,1.158350119782443
10714,17.835,38.90935330996905
10726,15.855,54.37696180369035
10741,22.925,68.1508574780978
10750,40.605,74.68386020419673
10911,8.705,27.312048165599002
10913,17.725,39.799740891116365
11020,9.95,35.36237407188607
11057,7.205,24.44407852630162
11108,10.73,35.68931352660065
11135,20.86,44.50506038643246
11170,34.525,77.11212210152176
11178,40.81,76.23013774092239
11180,6.21,19.29419342703913
11285,17.835,52.19394385366946
11310,18.33,53.69870668833654
11321,10.7,32.76614106055212
11408,10.315,59.79444602134883
11469,5.45,27.182117283243404
11501,17.1,31.537120984642844
11508,5.67,15.895002359232286
11544,24.52,44.671574854710464
11559,18.545,56.67731446531319
11677,18.24,56.1492867274376
11683,1.91,8.239047275019121
11762,37.255,75.29960142656799
11789,1.465,3.2153965540816265
11850,25.02,51.92513456891566
11881,1.645,3.1462636571018643
11931,4.5,34.223822112674675
12003,4.22,9.214749047044092
12126,1.775,2.0504572660750577
12266,1.0,0.0
12390,1.02,0.13999999999999999
12497,3.94,4.068955639964633
12687,4.555,12.981023649928384
12746,10.495,39.118281851328796
12793,14.18,29.226316907882868
12818,28.39,57.40459824787558
12830,9.245,31.289374794009547
12860,11.7,48.43118829845082
12875,54.485,91.58378554635094
